EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
211,51,0,Travel_Rarely,Research & Development,7,4,Medical,2,Male,2,2,Manufacturing Director,3,Married,6132,13983,2,No,17,3,3,80,0,10,2,3,1,0,0,0
214,58,0,Travel_Rarely,Research & Development,9,3,Medical,2,Female,2,1,Research Scientist,2,Married,3346,11873,4,Yes,20,4,2,80,1,9,3,2,1,0,0,0
215,40,0,Travel_Rarely,Sales,4,4,Marketing,3,Male,2,3,Sales Executive,4,Married,10855,8552,7,No,11,3,1,80,1,15,2,2,12,11,2,11
216,34,0,Travel_Frequently,Sales,2,4,Marketing,3,Female,3,1,Sales Representative,3,Married,2231,11314,6,No,18,3,4,80,1,6,3,3,4,3,1,2
217,22,0,Travel_Rarely,Research & Development,19,1,Medical,3,Male,3,1,Research Scientist,4,Married,2323,11992,1,No,24,4,1,80,2,2,6,3,2,2,2,2
218,27,0,Non-Travel,Research & Development,9,3,Medical,4,Male,3,1,Research Scientist,2,Divorced,2024,5970,6,No,18,3,4,80,1,6,1,1,2,2,2,2
221,28,0,Travel_Rarely,Research & Development,21,3,Medical,3,Male,3,1,Research Scientist,4,Married,2713,6672,1,No,11,3,3,80,1,5,2,1,5,2,0,2
223,57,0,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,Divorced,9439,23402,3,Yes,16,3,2,80,1,12,2,1,5,3,1,4
224,27,0,Non-Travel,Research & Development,3,3,Medical,3,Male,2,1,Research Scientist,3,Divorced,2566,25326,1,Yes,15,3,4,80,1,1,2,2,1,1,0,1
226,50,0,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,3,5,Manager,2,Single,19926,17053,3,No,15,3,2,80,0,21,5,3,5,4,4,4
227,41,0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2451,4609,4,No,12,3,1,80,1,13,2,3,9,8,1,8
228,30,0,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,3,3,Sales Executive,4,Married,9419,8053,2,No,12,3,3,80,1,12,2,3,10,9,7,4
230,38,0,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,2,Sales Executive,4,Single,8686,12930,4,No,22,4,3,80,0,12,2,4,8,3,0,7
231,32,0,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,3,1,Research Scientist,3,Single,3038,12430,3,No,20,4,1,80,0,8,2,3,5,4,1,4
233,27,0,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,3058,13364,0,Yes,16,3,4,80,1,6,3,2,5,2,1,1
235,19,1,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,2325,20989,0,No,21,4,1,80,0,1,5,4,0,0,0,0
238,36,0,Travel_Frequently,Research & Development,3,2,Medical,4,Male,3,1,Laboratory Technician,2,Single,2088,15062,4,No,12,3,3,80,0,13,3,2,8,7,7,2
239,30,0,Non-Travel,Research & Development,9,3,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,3072,11012,1,No,11,3,3,80,2,12,4,3,12,9,6,10
240,45,0,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,3,2,Sales Executive,1,Divorced,5006,6319,4,Yes,11,3,1,80,1,9,3,4,5,4,0,3
241,56,0,Travel_Rarely,Research & Development,8,3,Life Sciences,3,Female,3,1,Research Scientist,1,Divorced,4257,13939,4,Yes,18,3,3,80,1,19,3,3,2,2,2,2
242,33,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,4,Single,2500,10515,0,No,14,3,1,80,0,4,2,4,3,1,0,2
243,19,1,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,1102,9241,1,No,22,4,3,80,0,1,3,2,1,0,1,0
244,46,0,Travel_Rarely,Sales,1,2,Marketing,2,Female,3,3,Sales Executive,1,Divorced,10453,2137,1,No,25,4,3,80,3,24,2,3,24,13,15,7
245,38,0,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,2288,6319,1,No,12,3,3,80,0,2,3,3,2,2,2,1
246,31,0,Travel_Rarely,Research & Development,12,1,Medical,3,Female,3,1,Research Scientist,4,Married,3929,6984,8,Yes,23,4,3,80,1,7,0,3,4,2,0,2
247,34,0,Travel_Rarely,Research & Development,27,2,Medical,4,Female,3,1,Research Scientist,2,Single,2311,5711,2,No,15,3,4,80,0,9,3,3,3,2,1,2
248,41,1,Travel_Rarely,Sales,20,2,Marketing,2,Female,3,1,Sales Representative,2,Single,3140,21728,1,Yes,22,4,4,80,0,4,5,2,4,3,0,2
249,50,0,Travel_Rarely,Research & Development,1,3,Medical,3,Male,2,1,Laboratory Technician,3,Married,3690,3425,2,No,15,3,4,80,1,5,2,2,3,2,0,2
250,53,0,Travel_Rarely,Research & Development,13,2,Medical,4,Female,4,2,Manufacturing Director,1,Divorced,4450,26250,1,No,11,3,3,80,2,5,3,3,4,2,1,3
252,33,0,Travel_Rarely,Research & Development,14,3,Medical,4,Female,3,1,Research Scientist,2,Married,2756,4673,1,No,13,3,4,80,1,8,5,3,8,7,1,6
253,40,0,Travel_Rarely,Research & Development,4,1,Medical,4,Female,3,5,Manager,3,Married,19033,6499,1,No,14,3,2,80,1,21,2,3,20,8,9,9
254,55,0,Travel_Rarely,Research & Development,14,4,Medical,3,Male,4,5,Research Director,2,Single,18722,13339,8,No,11,3,4,80,0,36,3,3,24,15,2,15
256,34,0,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,2,2,Manufacturing Director,3,Married,9547,14074,1,No,17,3,3,80,0,10,2,2,10,9,1,9
258,51,0,Travel_Rarely,Research & Development,3,3,Medical,4,Female,3,4,Healthcare Representative,2,Single,13734,7192,3,No,18,3,3,80,0,21,6,3,7,7,1,0
259,52,0,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Male,2,5,Manager,3,Married,19999,5678,0,No,14,3,1,80,1,34,5,3,33,18,11,9
260,27,0,Travel_Rarely,Research & Development,9,3,Medical,4,Female,3,1,Research Scientist,2,Single,2279,11781,1,No,16,3,4,80,0,7,2,2,7,7,0,3
261,35,1,Travel_Rarely,Research & Development,23,2,Life Sciences,2,Male,2,2,Manufacturing Director,3,Married,5916,15497,3,Yes,13,3,1,80,0,8,1,3,1,0,0,1
262,43,0,Non-Travel,Research & Development,7,3,Medical,4,Male,4,1,Research Scientist,4,Divorced,2089,5228,4,No,14,3,4,80,3,7,3,4,5,4,2,2
264,45,0,Non-Travel,Research & Development,2,2,Medical,1,Male,2,4,Manager,4,Married,16792,20462,9,No,23,4,4,80,1,22,1,3,20,8,11,8
267,37,0,Travel_Rarely,Research & Development,21,3,Life Sciences,2,Male,4,1,Research Scientist,1,Married,3564,22977,1,Yes,12,3,1,80,1,8,3,2,8,7,1,7
269,35,0,Travel_Frequently,Research & Development,2,3,Medical,2,Female,3,2,Laboratory Technician,2,Single,4425,15986,5,No,11,3,4,80,0,10,5,3,6,2,1,2
270,42,0,Non-Travel,Research & Development,21,2,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,5265,16439,2,No,16,3,2,80,1,11,5,3,5,3,0,2
271,38,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,3,2,Manufacturing Director,3,Married,6553,7259,9,No,14,3,2,80,0,14,3,3,1,0,0,0
273,38,0,Travel_Rarely,Research & Development,29,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,Married,6261,4185,3,No,18,3,1,80,1,9,3,1,7,7,1,7
274,27,0,Travel_Frequently,Research & Development,1,1,Technical Degree,3,Male,2,2,Manufacturing Director,1,Married,4298,9679,5,No,19,3,3,80,1,6,1,3,2,2,2,0
275,49,0,Non-Travel,Research & Development,18,4,Life Sciences,4,Male,3,2,Manufacturing Director,4,Divorced,6804,23793,1,Yes,15,3,1,80,2,7,0,3,7,7,1,7
277,34,0,Travel_Frequently,Research & Development,10,4,Medical,4,Male,3,1,Research Scientist,3,Divorced,3815,5972,1,Yes,17,3,4,80,1,5,4,4,5,3,2,0
281,40,0,Travel_Rarely,Research & Development,19,2,Medical,3,Male,3,2,Laboratory Technician,4,Married,2741,16523,8,Yes,15,3,3,80,1,15,2,4,7,2,3,7
282,38,1,Travel_Rarely,Research & Development,29,1,Medical,2,Male,3,2,Healthcare Representative,1,Married,6673,11354,7,Yes,19,3,2,80,0,17,2,3,1,0,0,0
283,29,1,Travel_Rarely,Sales,27,3,Marketing,2,Female,3,3,Sales Executive,4,Married,7639,24525,1,No,22,4,4,80,3,10,3,2,10,4,1,9
284,22,0,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Male,4,1,Research Scientist,2,Divorced,2328,12392,1,Yes,16,3,1,80,1,4,2,2,4,2,2,2
286,36,0,Travel_Frequently,Research & Development,18,1,Medical,2,Female,3,1,Laboratory Technician,4,Single,2153,7703,1,No,13,3,1,80,0,8,2,3,8,1,1,7
287,40,0,Non-Travel,Research & Development,9,5,Life Sciences,4,Male,2,2,Healthcare Representative,4,Married,4876,14242,9,No,14,3,4,80,1,5,5,1,3,2,0,2
288,46,0,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,3,Healthcare Representative,1,Divorced,9396,12368,7,No,16,3,3,80,1,17,3,3,4,2,0,3
291,32,1,Travel_Rarely,Sales,4,4,Medical,4,Male,1,3,Sales Executive,4,Married,10400,25812,1,No,11,3,3,80,0,14,2,2,14,8,9,8
292,30,0,Non-Travel,Research & Development,1,1,Life Sciences,3,Male,2,3,Manufacturing Director,3,Single,8474,20925,1,No,22,4,3,80,0,12,2,3,11,8,5,8
293,27,0,Travel_Frequently,Sales,20,3,Life Sciences,4,Female,3,2,Sales Executive,3,Single,9981,12916,1,No,14,3,4,80,0,7,2,3,7,7,0,7
296,51,0,Travel_Rarely,Research & Development,8,4,Life Sciences,2,Male,2,3,Research Director,2,Married,12490,15736,5,No,16,3,4,80,2,16,5,1,10,9,4,7
297,30,1,Travel_Rarely,Research & Development,3,3,Technical Degree,4,Female,3,1,Research Scientist,1,Single,2657,8556,5,Yes,11,3,3,80,0,8,5,3,5,2,0,4
298,41,0,Travel_Rarely,Sales,6,3,Life Sciences,4,Female,3,3,Manager,4,Single,13591,14674,3,Yes,18,3,3,80,0,16,3,3,1,0,0,0
299,30,1,Travel_Frequently,Sales,26,4,Marketing,3,Female,2,2,Sales Executive,1,Single,6696,22967,5,No,15,3,3,80,0,9,5,2,6,3,0,1
300,29,1,Travel_Rarely,Research & Development,1,3,Technical Degree,3,Male,3,1,Research Scientist,3,Single,2058,19757,0,No,14,3,4,80,0,7,1,2,6,2,1,5
302,45,0,Non-Travel,Sales,6,3,Medical,4,Female,2,3,Sales Executive,4,Single,8865,16840,6,No,12,3,4,80,0,23,2,3,19,7,12,8
303,54,0,Travel_Rarely,Sales,3,3,Marketing,4,Female,3,2,Sales Executive,1,Married,5940,17011,2,No,14,3,4,80,1,16,4,3,6,2,0,5
304,36,0,Travel_Rarely,Research & Development,5,2,Life Sciences,4,Male,3,2,Laboratory Technician,2,Single,5914,9945,8,No,16,3,4,80,0,16,3,4,13,11,3,7
305,33,0,Travel_Rarely,Research & Development,4,4,Medical,3,Female,2,1,Research Scientist,2,Married,2622,13248,6,No,21,4,4,80,0,7,3,3,3,2,1,1
306,37,0,Travel_Frequently,Research & Development,11,3,Other,2,Male,3,3,Research Director,4,Divorced,12185,10056,1,Yes,14,3,3,80,3,10,1,3,10,8,0,7
307,38,0,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,3,3,Sales Executive,3,Divorced,10609,9647,0,No,12,3,3,80,2,17,6,2,16,10,5,13
308,31,0,Non-Travel,Research & Development,1,4,Medical,3,Male,1,2,Manufacturing Director,3,Married,4345,4381,0,No,12,3,4,80,1,6,2,3,5,4,1,4
309,59,0,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2177,8456,3,No,17,3,1,80,1,7,6,3,1,0,0,0
311,37,0,Travel_Frequently,Sales,4,4,Marketing,1,Male,3,1,Sales Representative,4,Divorced,2793,2539,4,No,17,3,3,80,1,13,2,3,9,8,5,8
312,29,0,Travel_Frequently,Sales,1,1,Medical,2,Female,3,3,Sales Executive,4,Married,7918,6599,1,No,14,3,4,80,1,11,5,3,11,10,4,1
314,35,0,Travel_Frequently,Sales,1,3,Marketing,3,Female,3,3,Sales Executive,3,Single,8789,9096,1,No,14,3,1,80,0,10,3,4,10,7,0,8
315,29,1,Travel_Rarely,Research & Development,18,1,Medical,3,Male,2,1,Research Scientist,4,Single,2389,14961,1,Yes,13,3,3,80,0,4,3,2,4,3,0,1
316,52,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,2,1,Laboratory Technician,4,Single,3212,3300,7,No,15,3,2,80,0,6,3,2,2,2,2,2
319,42,0,Travel_Rarely,Research & Development,4,2,Technical Degree,3,Male,3,5,Manager,4,Married,19232,4933,1,No,11,3,4,80,0,22,3,3,22,17,11,15
321,59,0,Travel_Rarely,Human Resources,6,2,Medical,2,Male,3,1,Human Resources,3,Married,2267,25657,8,No,17,3,4,80,0,7,2,2,2,2,2,2
323,50,0,Travel_Rarely,Sales,1,4,Medical,4,Female,3,5,Manager,4,Divorced,19517,24118,3,No,11,3,3,80,1,32,3,2,7,0,0,6
325,33,1,Travel_Rarely,Research & Development,14,3,Medical,3,Male,3,1,Laboratory Technician,4,Married,2436,22149,5,Yes,13,3,3,80,1,8,2,1,5,4,0,4
327,43,0,Travel_Rarely,Sales,16,3,Marketing,4,Female,3,4,Manager,4,Married,16064,7744,5,Yes,22,4,3,80,1,22,3,3,17,13,1,9
328,33,1,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Female,3,1,Laboratory Technician,1,Married,2707,21509,7,No,20,4,1,80,0,13,3,4,9,7,1,7
329,52,0,Non-Travel,Sales,2,4,Life Sciences,1,Male,2,5,Manager,3,Single,19068,21030,1,Yes,18,3,4,80,0,33,2,4,33,7,15,12
330,32,0,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,3,1,Sales Representative,2,Married,3931,20990,2,No,11,3,1,80,1,6,5,3,4,3,1,2
331,32,1,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,3730,9571,0,Yes,14,3,4,80,0,4,2,1,3,2,1,2
332,39,0,Travel_Rarely,Research & Development,1,4,Medical,3,Female,3,1,Laboratory Technician,3,Divorced,2232,15417,7,No,14,3,3,80,3,7,1,3,3,2,1,2
333,32,0,Non-Travel,Sales,26,4,Marketing,3,Male,3,2,Sales Executive,4,Married,4465,12069,0,No,18,3,1,80,0,4,2,3,3,2,2,2
334,41,0,Travel_Rarely,Research & Development,19,2,Life Sciences,3,Male,3,2,Research Scientist,1,Divorced,3072,19877,2,No,16,3,1,80,2,17,2,2,1,0,0,0
335,40,0,Travel_Rarely,Research & Development,24,2,Technical Degree,1,Male,3,2,Research Scientist,4,Divorced,3319,24447,1,No,17,3,1,80,2,9,3,3,9,8,4,7
336,45,0,Travel_Rarely,Research & Development,1,3,Other,3,Male,4,5,Manager,4,Married,19202,15970,0,No,11,3,3,80,1,25,2,3,24,0,1,7
337,31,0,Travel_Frequently,Research & Development,3,4,Medical,2,Male,3,3,Research Director,3,Divorced,13675,13523,9,No,12,3,1,80,1,9,3,3,2,2,2,2
338,33,0,Travel_Rarely,Research & Development,5,4,Life Sciences,3,Female,2,1,Research Scientist,4,Married,2911,14776,1,No,13,3,3,80,1,2,2,2,2,2,0,2
339,34,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,2,Manufacturing Director,1,Married,5957,23687,6,No,13,3,2,80,1,13,3,3,11,9,5,9
340,37,0,Travel_Rarely,Research & Development,1,2,Medical,3,Female,2,1,Research Scientist,1,Married,3920,18697,2,No,14,3,1,80,1,17,2,2,3,1,0,2
341,45,0,Travel_Frequently,Research & Development,7,4,Life Sciences,1,Male,4,2,Manufacturing Director,3,Married,6434,5118,4,No,17,3,4,80,1,9,1,3,3,2,0,2
342,37,1,Travel_Frequently,Research & Development,10,3,Medical,1,Male,3,3,Manufacturing Director,3,Divorced,10048,22573,6,No,11,3,2,80,2,17,5,3,1,0,0,0
343,39,0,Travel_Frequently,Research & Development,2,4,Technical Degree,3,Female,3,3,Healthcare Representative,3,Single,10938,6420,0,No,25,4,4,80,0,20,1,3,19,6,11,8
346,29,0,Travel_Rarely,Research & Development,15,3,Life Sciences,3,Male,3,1,Research Scientist,4,Single,2340,22673,1,No,19,3,1,80,0,6,1,3,6,5,1,5
347,42,0,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Female,4,2,Research Scientist,1,Single,6545,23016,3,Yes,13,3,3,80,0,10,1,3,3,2,0,2
349,29,0,Travel_Rarely,Sales,20,2,Marketing,4,Male,3,2,Sales Executive,4,Divorced,6931,10732,2,No,14,3,4,80,1,10,2,3,3,2,0,2
350,25,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,3,2,Manufacturing Director,3,Married,4898,7505,0,No,12,3,4,80,2,5,3,3,4,2,1,2
351,42,0,Travel_Rarely,Research & Development,2,3,Medical,4,Female,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Yes,11,3,3,80,1,10,4,3,9,6,7,8
352,40,0,Travel_Rarely,Research & Development,2,2,Medical,1,Male,3,5,Research Director,3,Divorced,19436,5949,0,No,19,3,4,80,1,22,5,3,21,7,3,9
353,51,0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Male,3,1,Research Scientist,4,Married,2723,23231,1,No,11,3,2,80,0,1,0,2,1,0,0,0
355,31,1,Travel_Frequently,Research & Development,29,2,Medical,3,Male,2,1,Laboratory Technician,2,Single,3479,11652,0,No,11,3,2,80,0,6,2,4,5,4,1,4
359,32,0,Travel_Frequently,Research & Development,7,3,Life Sciences,2,Male,4,1,Laboratory Technician,2,Married,2794,26062,1,No,20,4,3,80,0,5,3,1,5,1,0,3
361,38,0,Non-Travel,Sales,2,2,Life Sciences,4,Male,2,2,Sales Executive,4,Married,5249,19682,3,No,18,3,4,80,1,13,0,3,8,7,7,5
362,32,0,Travel_Rarely,Research & Development,2,1,Technical Degree,4,Male,2,2,Laboratory Technician,1,Single,2176,19737,4,No,13,3,4,80,0,9,5,3,6,2,0,4
363,46,0,Travel_Rarely,Sales,2,3,Technical Degree,3,Female,1,4,Manager,2,Married,16872,14977,3,Yes,12,3,2,80,1,28,2,2,7,7,7,7
364,28,1,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,3,1,Laboratory Technician,3,Single,3485,14935,2,No,11,3,3,80,0,5,5,1,0,0,0,0
366,29,0,Travel_Rarely,Sales,2,3,Medical,1,Male,2,2,Sales Executive,2,Married,6644,3687,2,No,19,3,2,80,2,10,2,3,0,0,0,0
367,31,0,Travel_Rarely,Research & Development,23,3,Medical,2,Male,2,2,Healthcare Representative,4,Married,5582,14408,0,No,21,4,2,80,1,10,2,3,9,0,7,8
369,25,0,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,4,2,Healthcare Representative,1,Divorced,4000,18384,1,No,12,3,4,80,2,6,2,3,6,3,1,5
372,45,0,Travel_Rarely,Research & Development,20,2,Medical,3,Male,3,4,Healthcare Representative,4,Married,13496,7501,0,Yes,14,3,2,80,0,21,2,3,20,7,4,10
373,36,0,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,3210,20251,0,No,11,3,3,80,1,16,4,3,15,13,10,11
374,55,0,Travel_Rarely,Research & Development,1,3,Medical,4,Male,3,5,Manager,1,Single,19045,18938,0,Yes,14,3,3,80,0,37,2,3,36,10,4,13
376,47,1,Non-Travel,Research & Development,29,4,Life Sciences,1,Male,3,3,Manager,2,Married,11849,10268,1,Yes,12,3,4,80,1,10,2,2,10,7,9,9
377,28,0,Travel_Rarely,Research & Development,9,3,Medical,4,Male,3,1,Research Scientist,4,Married,2070,2613,1,No,23,4,4,80,1,5,3,2,5,2,0,4
378,37,0,Travel_Rarely,Sales,6,4,Medical,3,Male,3,2,Sales Executive,4,Married,6502,22825,4,No,14,3,2,80,1,7,5,4,5,4,0,1
379,21,0,Travel_Rarely,Research & Development,3,2,Medical,4,Male,2,1,Research Scientist,3,Single,3230,10531,1,No,17,3,1,80,0,3,4,4,3,2,1,0
380,37,0,Non-Travel,Research & Development,1,4,Medical,1,Female,3,3,Research Director,4,Divorced,13603,11677,2,Yes,18,3,1,80,2,15,2,3,5,2,0,2
381,35,0,Travel_Rarely,Research & Development,22,3,Life Sciences,2,Female,4,3,Manager,2,Divorced,11996,19100,7,No,18,3,2,80,1,10,6,2,7,7,6,2
382,38,0,Travel_Rarely,Sales,7,2,Medical,1,Female,4,2,Sales Executive,1,Divorced,5605,19191,1,Yes,24,4,3,80,1,8,3,3,8,0,7,7
384,26,0,Travel_Frequently,Research & Development,1,3,Life Sciences,3,Female,3,2,Manufacturing Director,2,Divorced,6397,26767,1,No,20,4,1,80,1,6,6,1,6,5,1,4
385,50,0,Travel_Rarely,Research & Development,4,1,Life Sciences,1,Male,3,5,Research Director,2,Divorced,19144,15815,3,No,14,3,1,80,2,28,4,2,10,4,1,6
386,53,0,Travel_Rarely,Research & Development,3,4,Medical,3,Male,3,4,Research Director,3,Married,17584,21016,3,Yes,16,3,4,80,3,21,5,2,5,3,1,3
387,42,0,Travel_Rarely,Sales,1,1,Life Sciences,2,Male,3,2,Sales Executive,3,Married,4907,24532,1,No,25,4,3,80,0,20,3,3,20,16,11,6
388,29,0,Travel_Frequently,Sales,2,2,Life Sciences,2,Male,3,2,Sales Executive,4,Single,4554,20260,1,No,18,3,1,80,0,10,3,2,10,7,0,9
389,55,0,Travel_Rarely,Research & Development,20,2,Technical Degree,2,Male,3,2,Laboratory Technician,4,Married,5415,15972,3,Yes,19,3,4,80,1,12,4,3,10,7,0,8
390,26,0,Travel_Frequently,Research & Development,11,2,Medical,1,Male,3,2,Healthcare Representative,1,Married,4741,22722,1,Yes,13,3,3,80,1,5,3,3,5,3,3,3
391,37,0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,3,1,Research Scientist,4,Single,2115,15881,1,No,12,3,2,80,0,17,3,3,17,12,5,7
392,44,1,Travel_Frequently,Research & Development,24,3,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,3161,19920,3,Yes,22,4,4,80,1,19,0,1,1,0,0,0
393,38,0,Travel_Rarely,Research & Development,23,4,Life Sciences,4,Male,3,2,Healthcare Representative,4,Divorced,5745,18899,9,No,14,3,2,80,1,10,2,3,2,2,1,2
394,26,1,Travel_Rarely,Research & Development,16,4,Medical,1,Male,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Yes,13,3,4,80,1,5,2,3,3,2,0,2
395,28,0,Travel_Rarely,Research & Development,8,2,Life Sciences,4,Female,3,1,Research Scientist,4,Single,3310,4488,1,No,21,4,4,80,0,5,3,3,5,3,0,2
396,49,0,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,3,5,Research Director,1,Single,18665,25594,9,Yes,11,3,4,80,0,22,4,3,3,2,1,2
397,36,0,Travel_Rarely,Research & Development,3,3,Technical Degree,3,Male,3,2,Research Scientist,2,Single,4485,26285,4,No,12,3,4,80,0,10,2,3,8,0,7,7
399,31,0,Travel_Frequently,Sales,5,3,Marketing,4,Female,3,1,Sales Representative,2,Divorced,2789,3909,1,No,11,3,3,80,1,2,5,2,2,2,2,2
401,26,1,Travel_Rarely,Sales,4,4,Marketing,4,Male,2,2,Sales Executive,4,Single,5828,8450,1,Yes,12,3,2,80,0,8,0,3,8,7,7,4
403,37,0,Travel_Frequently,Research & Development,9,3,Medical,2,Male,3,1,Research Scientist,4,Married,2326,11411,1,Yes,12,3,3,80,3,4,3,2,4,2,1,2
404,42,0,Travel_Frequently,Sales,26,3,Marketing,3,Female,3,4,Sales Executive,2,Married,13525,14864,5,No,14,3,4,80,1,23,2,4,20,4,4,8
405,18,1,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,3,Single,1420,25233,1,No,13,3,3,80,0,0,2,3,0,0,0,0
406,35,0,Travel_Rarely,Sales,16,3,Marketing,3,Male,3,3,Sales Executive,2,Married,8020,5100,0,No,15,3,3,80,2,12,3,2,11,9,6,9
407,36,0,Travel_Frequently,Research & Development,18,4,Life Sciences,3,Male,4,1,Laboratory Technician,4,Married,3688,7122,4,No,18,3,4,80,2,4,2,3,1,0,0,0
408,51,0,Travel_Rarely,Research & Development,2,3,Medical,4,Male,1,2,Manufacturing Director,2,Divorced,5482,16321,5,No,18,3,4,80,1,13,3,3,4,1,1,2
410,41,0,Travel_Rarely,Sales,2,4,Life Sciences,4,Male,3,4,Manager,2,Single,16015,15896,1,No,19,3,2,80,0,22,2,3,22,10,0,4
411,18,0,Travel_Rarely,Sales,10,3,Medical,4,Female,2,1,Sales Representative,3,Single,1200,9724,1,No,12,3,1,80,0,0,2,3,0,0,0,0
412,28,0,Travel_Rarely,Research & Development,16,2,Medical,2,Male,4,2,Healthcare Representative,1,Single,5661,4824,0,No,19,3,3,80,0,9,2,3,8,3,0,7
416,31,0,Travel_Rarely,Sales,7,3,Technical Degree,2,Male,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,80,1,10,3,2,8,7,7,7
417,39,0,Travel_Rarely,Research & Development,1,3,Medical,3,Male,4,3,Healthcare Representative,4,Divorced,9613,10942,0,No,17,3,1,80,3,19,5,2,18,10,3,7
419,36,0,Non-Travel,Research & Development,24,4,Life Sciences,2,Female,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,80,1,11,3,3,9,8,0,8
420,32,0,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,2,2,Sales Executive,3,Married,5484,16985,1,No,14,3,3,80,1,13,3,2,13,8,4,8
421,38,0,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Female,2,3,Research Director,2,Married,12061,26707,3,No,17,3,3,80,1,19,2,3,10,8,0,1
422,58,0,Non-Travel,Research & Development,1,4,Life Sciences,4,Male,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Yes,13,3,4,80,1,12,2,3,5,3,1,2
423,31,0,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Research Scientist,4,Married,4821,10077,0,Yes,12,3,3,80,1,6,4,3,5,2,0,3
424,31,0,Travel_Rarely,Human Resources,2,3,Human Resources,1,Male,2,2,Human Resources,1,Married,6410,17822,3,No,12,3,4,80,0,9,1,3,2,2,1,0
425,45,0,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,3,3,Laboratory Technician,1,Divorced,5210,20308,1,No,18,3,1,80,1,24,2,3,24,9,9,11
426,31,0,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Male,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,80,1,3,2,1,2,2,2,2
428,33,0,Travel_Frequently,Research & Development,5,4,Life Sciences,4,Female,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,80,2,12,2,3,10,6,8,8
429,39,0,Travel_Rarely,Research & Development,10,1,Medical,3,Male,3,4,Manager,1,Married,17068,5355,1,Yes,14,3,4,80,0,21,3,3,21,9,11,10
